GEOID,STATE,COUNTY,AREALAND
37063000101,37,63,3370139
37063000102,37,63,3998235
37063000200,37,63,3021354
37063000301,37,63,1586355
37063000302,37,63,1722150
37063000401,37,63,3437123
37063000402,37,63,1195869
37063000500,37,63,2163223
37063000600,37,63,7121858
37063000700,37,63,3368056
37063000900,37,63,1025538
37063001001,37,63,2284922
37063001002,37,63,3348813
37063001100,37,63,1396022
37063001301,37,63,747645
37063001303,37,63,1525502
37063001304,37,63,1709176
37063001400,37,63,1896968
37063001501,37,63,2738792
37063001503,37,63,449529
37063001504,37,63,1398151
37063001505,37,63,1146194
37063001601,37,63,26387148
37063001603,37,63,25706121
37063001604,37,63,24684150
37063001705,37,63,7440526
37063001706,37,63,5900418
37063001708,37,63,6380391
37063001709,37,63,8276903
37063001710,37,63,3792441
37063001711,37,63,3884002
37063001712,37,63,9340511
37063001713,37,63,6823319
37063001801,37,63,45790869
37063001802,37,63,9174826
37063001806,37,63,35564033
37063001808,37,63,18023945
37063001809,37,63,12149650
37063001810,37,63,3192394
37063001811,37,63,6199860
37063001900,37,63,58425853
37063002007,37,63,5971352
37063002008,37,63,5186888
37063002009,37,63,7368748
37063002013,37,63,5277875
37063002015,37,63,3787110
37063002019,37,63,20523315
37063002020,37,63,16384324
37063002021,37,63,6034565
37063002022,37,63,2550623
37063002023,37,63,2302345
37063002024,37,63,4349612
37063002025,37,63,6083580
37063002026,37,63,5677447
37063002029,37,63,5845285
37063002030,37,63,13498282
37063002031,37,63,1551499
37063002032,37,63,1409469
37063002033,37,63,7379059
37063002034,37,63,10294036
37063002035,37,63,9751069
37063002036,37,63,6762149
37063002037,37,63,9863957
37063002038,37,63,12622248
37063002100,37,63,180071642
37063002200,37,63,1538433
37063002300,37,63,1241975
37063980100,37,63,20979451